id,over_due_1,over_due_2,over_due_3,over_due_total,pay_normal,prod_code,prod_limit,update_date,current_balance,highest_balance,last_payment_date
58996590,0,0,0,0,2,2,,1/9/16,1547596.8,1296347,
58994986,0,0,0,0,4,5,,1/9/16,213292.8,183500,25/3/16
59005708,0,0,0,0,1,1,,5/8/16,513638.4,428532,
59005099,0,0,0,0,2,0,,4/8/16,24000,30500,
58993461,0,0,0,0,2,10,,3/8/16,3356.4,3297,
58995151,0,0,0,0,2,6,,3/8/16,16848,14540,
58992482,0,0,0,0,1,10,85800,2/8/16,38505.6,32587,26/2/16
58991158,0,0,0,0,1,10,82500,2/8/16,81030,68025,
54987053,0,0,0,0,2,0,,2/8/16,2325.6,2681,
58993992,0,0,0,0,1,10,,2/8/16,18000,15500,
54987053,0,0,0,0,2,0,,2/8/16,48000,50500,
59001951,0,0,0,0,2,6,,2/8/16,29748,43000,
59003535,0,0,0,0,3,6,,1/8/16,23328,35500,21/2/16
58986444,0,0,0,0,2,10,,1/8/16,0,3549,2/9/16
58987491,0,0,0,0,2,10,127600,3/7/16,46910.4,49591,16/4/16
59003268,0,0,0,0,2,6,,3/7/16,13945.2,12121,
58988166,0,0,0,0,3,10,,3/7/16,5451.6,16150,18/5/16
54984727,0,0,0,0,2,13,,3/7/16,46431.6,41100,26/3/16
54988259,0,0,0,0,3,10,70400,2/7/16,39973.2,34710,5/7/16
58995813,0,0,0,0,4,6,,2/7/16,7200,12500,22/4/16
59003975,0,0,0,0,1,10,182600,1/7/16,24327.6,20773,
54988427,0,0,0,0,5,6,,1/7/16,32262,44500,22/4/16
54987715,0,0,0,0,4,6,,1/7/16,27679.2,29334,4/2/16
54988259,0,0,0,0,1,6,,5/6/16,9998.4,13000,
54992448,0,0,0,0,1,5,,5/6/16,180000,150500,
54988259,0,0,0,0,1,6,,5/6/16,14400,18500,
59003000,0,0,0,0,1,10,69300,4/6/16,39766.8,33639,
59006139,0,0,0,0,2,10,,4/6/16,27901.2,23751,5/9/16
58994468,0,0,0,0,1,13,,4/6/16,47875.2,42500,
58993373,0,0,0,0,1,6,,4/6/16,11116.8,14400,
58988028,0,0,0,0,2,6,,4/6/16,35868,30390,
58992868,0,0,0,0,1,10,68200,3/6/16,6244.8,5704,
59005496,0,0,0,0,2,10,,3/6/16,27297.6,23248,27/4/16
58995303,0,0,0,0,3,10,82500,2/6/16,24252,50050,4/9/16
59002619,0,0,0,0,1,10,61600,2/6/16,6177.6,5648,
58993467,0,0,0,0,2,10,44000,2/6/16,47262,39884,28/2/16
58987077,0,0,0,0,2,10,33000,2/6/16,31924.8,27104,26/2/16
59004779,0,0,0,0,4,6,,2/6/16,15120,21500,19/4/16
54991585,0,0,0,0,3,10,,2/6/16,0,,
54984913,0,0,0,0,4,5,,2/6/16,204925.2,179500,20/3/16
58991158,0,0,0,0,1,10,,2/6/16,28742.4,,
54987316,0,0,0,0,3,10,22000,1/6/16,21976.8,19800,21/2/16
59005881,0,0,0,0,1,10,69300,31/5/16,685.2,1071,
59005860,0,0,0,0,1,5,,28/5/16,240000,200500,
59005543,0,0,0,0,1,10,526900,17/5/16,288790.8,241159,
54984978,0,0,0,0,1,5,,17/5/16,190800,159500,
58995877,0,0,0,0,1,10,55000,15/5/16,2050.8,2208,
58988092,0,0,0,0,1,6,,15/5/16,37680,31900,
58988092,0,0,0,0,1,6,,15/5/16,30000,25500,
58988287,0,0,0,0,1,10,99000,14/5/16,685.2,1071,
59005266,0,0,0,0,1,10,78100,14/5/16,4102.8,3918,
54988630,0,0,0,0,2,6,,13/5/16,18973.2,20265,
58995813,0,0,0,0,2,10,55000,4/5/16,4444.8,47225,15/5/16
59001486,0,0,0,0,1,10,346500,3/5/16,2865.6,2888,
54984810,0,0,0,0,2,10,66000,3/5/16,14347.2,16139,4/9/16
54988422,0,0,0,0,3,10,33000,3/5/16,4760.4,4467,15/4/16
58995594,0,0,0,0,3,10,,3/5/16,1066.8,36632,15/5/16
54988329,0,0,0,0,2,5,,3/5/16,59666.4,67500,4/10/16
54987215,0,0,0,0,2,6,,3/5/16,17157.6,21950,
58996840,0,0,0,0,2,10,,3/5/16,5821.2,5351,5/7/16
59002016,0,0,0,0,1,10,,3/5/16,684,1070,
54984680,0,0,0,0,3,10,,2/5/16,12396,8080,4/9/16
59005303,0,0,0,0,4,10,,2/5/16,35043.6,29703,5/9/16
59001917,0,0,0,0,2,10,,2/5/16,22764,19470,2/11/16
59002945,0,0,0,0,3,10,,2/5/16,2386.8,3173,21/3/16
54991086,0,0,0,0,4,10,106700,1/5/16,104354.4,98609,17/4/16
59004333,0,0,0,0,5,10,79200,1/5/16,80415.6,69991,26/4/16
59003358,0,0,0,0,4,10,49500,1/5/16,33427.2,40557,15/4/16
59002037,0,0,0,0,3,10,44000,1/5/16,16880.4,14566,25/2/16
58988287,0,0,0,0,1,10,,26/4/16,6175.2,5646,
59005841,0,0,0,0,2,10,,24/4/16,0,,
58995703,0,0,0,0,1,10,,21/4/16,253.2,711,
58995703,0,0,0,0,1,10,,21/4/16,253.2,711,
58996591,0,0,0,0,2,10,88000,17/4/16,2805.6,5826,20/5/16
59003325,0,0,0,0,1,10,64900,17/4/16,888,1240,
59003249,0,0,0,0,1,10,46200,17/4/16,4102.8,3918,
58997200,0,0,0,0,2,2,,17/4/16,4437040.8,4225500,
59003959,0,0,0,0,1,10,,17/4/16,0,,
54988522,0,0,0,0,1,10,66000,16/4/16,682.8,1068,
54984435,0,0,0,0,1,10,27500,16/4/16,496.8,,
58994986,0,0,0,0,1,10,,16/4/16,0,,
54991108,0,0,0,0,1,10,,16/4/16,0,,
58987886,0,0,0,0,2,0,,16/4/16,66806.4,55500,18/5/16
58994712,0,0,0,0,1,10,101200,14/4/16,14290.8,12408,
58997200,0,0,0,0,2,5,,13/4/16,863940,718201,19/4/16
58997200,0,0,0,0,2,0,,13/4/16,636720,531100,
58995842,0,0,0,0,1,10,42900,5/4/16,682.8,1068,
59004141,0,0,0,0,1,10,,5/4/16,0,,
58997183,0,0,0,0,1,6,,4/4/16,30109.2,26500,5/6/16
58995594,0,0,0,0,2,19,,4/4/16,1430811.6,1207032,
54991827,0,0,0,0,3,10,60500,3/4/16,24163.2,24036,24/4/16
54987381,0,0,0,0,1,10,55000,3/4/16,2302.8,3719,20/3/16
58987886,0,0,0,0,3,10,,3/4/16,-6,1515,24/4/16
58987512,0,0,0,0,1,5,,3/4/16,240000,200500,
58987931,0,0,0,0,3,6,,2/4/16,46923.6,49379,20/3/16
58987232,0,0,0,0,5,10,118800,1/4/16,145.2,1068,3/8/16
59005490,0,0,0,0,5,10,93500,1/4/16,-1.2,85473,2/12/16
58996172,0,0,0,0,3,10,,1/4/16,80880,67900,18/4/16
59001195,0,0,0,0,2,1,,1/4/16,724740,470500,
58988263,0,0,0,0,3,10,82500,30/3/16,0,44452,6/12/16
58987200,0,0,0,0,1,10,,29/3/16,3248.4,3207,
59004680,0,0,0,0,2,10,201300,28/3/16,2649.6,10223,14/5/16
58995283,0,0,0,0,1,10,,28/3/16,0,,
58994781,0,0,0,0,1,5,,28/3/16,350953.2,290500,
59002087,0,0,0,0,1,10,105600,27/3/16,7202.4,6501,
54984634,0,0,0,0,1,10,48400,27/3/16,56890.8,47908,
59002775,0,0,0,0,1,10,189200,26/3/16,6838.8,6198,
58994224,0,0,0,0,1,10,129800,26/3/16,124102.8,103918,
59004235,0,0,0,0,1,6,,26/3/16,24000,20500,
58996127,0,0,0,0,2,6,,26/3/16,16800,24500,22/4/16
59004235,0,0,0,0,1,6,,26/3/16,14400,18500,
58992711,0,0,0,0,1,10,110000,25/3/16,4102.8,3918,
58987375,0,0,0,0,1,10,16500,23/3/16,493.2,911,
54991108,0,0,0,0,1,6,,23/3/16,62388,52490,
58995381,0,0,0,0,1,5,,22/3/16,180000,150500,
59004757,0,0,0,0,1,5,,21/3/16,728560.8,600500,
58992285,0,0,0,0,1,10,74800,20/3/16,7870.8,7058,
58992285,0,0,0,0,1,10,74800,20/3/16,7870.8,7058,
58988263,0,0,0,0,2,10,283800,19/3/16,130521.6,111325,5/7/16
58996069,0,0,0,0,1,10,116600,19/3/16,684,1070,
54988214,0,0,0,0,1,5,,19/3/16,125208,109500,4/5/16
54990604,0,0,0,0,1,10,119900,18/3/16,4102.8,3918,
54987763,0,0,0,0,2,10,118800,18/3/16,12508.8,12699,25/4/16
58995231,0,0,0,0,2,10,88000,18/3/16,10436.4,9197,5/10/16
54984634,0,0,0,0,1,5,,18/3/16,384000,320500,
59004540,0,0,0,0,1,26,,18/3/16,0,50500,
59003330,0,0,0,0,2,10,,18/3/16,10288.8,9074,
54991108,0,0,0,0,2,0,,18/3/16,16296,19900,
54988666,0,0,0,0,3,6,,18/3/16,63998.4,80500,22/4/16
58993461,0,0,0,0,1,5,,18/3/16,360000,300500,
58996802,0,0,0,0,3,6,,17/3/16,23520,28500,19/4/16
58995813,0,0,0,0,3,6,,17/3/16,24360,29500,22/4/16
58987142,0,0,0,0,1,10,104500,16/3/16,19441.2,16700,
58994493,0,0,0,0,2,10,68200,16/3/16,55249.2,46540,14/4/16
58988044,0,0,0,0,1,10,,16/3/16,1026,,
59005571,0,0,0,0,2,10,70400,15/3/16,7281.6,6568,
59003535,0,0,0,0,1,5,,15/3/16,120000,100500,
59002945,0,0,0,0,1,5,,15/3/16,153600,128500,
58994607,0,0,0,0,2,0,,15/3/16,48448.8,48950,
54988608,0,0,0,0,3,10,,15/3/16,3069.6,15871,27/4/16
58993369,0,0,0,0,1,10,112200,14/3/16,2050.8,2208,
59004230,0,0,0,0,2,10,55000,14/3/16,9046.8,8039,22/4/16
58994284,0,0,0,0,2,5,,14/3/16,120000,100500,
59004235,0,0,0,0,2,10,,14/3/16,3961.2,3801,
59003535,0,0,0,0,1,0,,14/3/16,14280,17500,
58987926,0,0,0,0,2,10,69300,13/3/16,35757.6,32018,22/4/16
54992046,0,0,0,0,2,10,49500,13/3/16,11551.2,10126,25/4/16
54988259,0,0,0,0,3,10,48400,13/3/16,11256,19831,5/11/16
58995283,0,0,0,0,1,5,,13/3/16,300000,250500,
58995151,0,0,0,0,2,6,,13/3/16,17131.2,16816,
58994019,0,0,0,0,2,10,,13/3/16,5700,5250,
58988092,0,0,0,0,1,10,63800,5/3/16,55908,47090,
59005099,0,0,0,0,3,10,110000,4/3/16,114994.8,100612,20/5/16
59003524,0,0,0,0,1,10,108900,4/3/16,28654.8,24379,
54988581,0,0,0,0,2,10,66000,4/3/16,33946.8,28789,13/5/16
54984978,0,0,0,0,2,10,45100,4/3/16,53857.2,45381,19/5/16
58995151,0,0,0,0,1,6,,4/3/16,41706,52639,4/3/16
58996069,0,0,0,0,1,6,,2/3/16,24000,30500,
58987961,0,0,0,0,4,5,,2/3/16,147598.8,125500,22/4/16
58996069,0,0,0,0,1,6,,2/3/16,12000,15500,
58996069,0,0,0,0,1,6,,2/3/16,12000,15500,
58994468,0,0,0,0,4,10,151800,1/3/16,-338.4,13718,13/4/16
54984727,0,0,0,0,5,10,115500,1/3/16,52339.2,47535,25/4/16
54987381,0,0,0,0,4,10,40700,1/3/16,17773.2,16310,19/3/16
58991841,0,0,0,0,1,10,16500,1/3/16,0,,
58992482,0,0,0,0,2,10,,1/3/16,61864.8,38160,14/2/16
58993137,0,0,0,0,3,10,,1/3/16,4622.4,2209,2/10/16
54988520,0,0,0,0,2,5,,1/3/16,90729.6,83500,25/3/16
54992137,0,0,0,0,1,1,,1/3/16,178448.4,159943,25/3/16
54989513,0,0,0,0,1,6,,1/3/16,21600,20500,
59005917,0,0,0,0,4,10,105600,29/2/16,12062.4,14742,14/5/16
54992131,0,0,0,0,3,10,99000,29/2/16,11924.4,10437,16/5/16
58987886,0,0,0,0,3,10,,29/2/16,11641.2,,16/5/16
58995813,0,0,0,0,2,6,,29/2/16,25849.2,24000,
58988166,0,0,0,0,3,5,,29/2/16,86172,75500,26/3/16
54984987,0,0,0,0,3,10,,29/2/16,6975.6,6313,25/4/16
58986657,0,0,0,0,1,10,179300,28/2/16,4102.8,3918,
54986797,0,0,0,0,1,10,171600,28/2/16,682.8,1068,
54986472,0,0,0,0,1,10,68200,28/2/16,682.8,1068,
54992408,0,0,0,0,3,10,,28/2/16,11913.6,11682,19/4/16
59001304,0,0,0,0,1,10,121000,27/2/16,4604.4,4337,
54987715,0,0,0,0,2,5,,26/2/16,118363.2,100500,23/3/16
58996837,0,0,0,0,3,5,,26/2/16,114328.8,100500,22/4/16
58987886,0,0,0,0,2,10,383900,23/2/16,-51.6,2456,14/3/16
54988117,0,0,0,0,2,6,,23/2/16,24780,30000,20/3/16
54991108,0,0,0,0,2,6,,23/2/16,83091.6,72461,27/3/16
54991585,0,0,0,0,2,6,,23/2/16,31584,33400,23/3/16
59003535,0,0,0,0,2,10,68200,22/2/16,11995.2,10621,18/3/16
58994114,0,0,0,0,1,10,55000,22/2/16,0,,
54991441,0,0,0,0,2,5,,22/2/16,231681.6,196500,23/3/16
54992451,0,0,0,0,3,5,,21/2/16,235296,200500,22/4/16
54984577,0,0,0,0,2,10,174900,20/2/16,153999.6,128833,19/3/16
59004966,0,0,0,0,1,5,,20/2/16,114435.6,100500,26/2/16
58986784,0,0,0,0,1,10,,16/2/16,0,,
59004885,0,0,0,0,2,6,,16/2/16,18019.2,17662,20/3/16
58994409,0,0,0,0,1,0,,16/2/16,18662.4,28500,
59004654,0,0,0,0,3,0,,16/2/16,30660,37000,22/4/16
54984435,0,0,0,0,1,10,49500,15/2/16,15434.4,13362,
54987381,0,0,0,0,2,10,27500,15/2/16,1435.2,1696,3/5/16
58991302,0,0,0,0,1,10,221100,14/2/16,39292.8,33243,
58988028,0,0,0,0,4,10,111100,14/2/16,5425.2,12021,17/5/16
59005995,0,0,0,0,4,10,42900,14/2/16,43974,38946,28/5/16
58992849,0,0,0,0,2,10,,14/2/16,59204.4,1525,
54992408,0,0,0,0,4,10,,14/2/16,-38.4,13868,5/4/16
59000887,0,0,0,0,1,0,,14/2/16,17136,20900,
58987402,0,0,0,0,2,10,113300,13/2/16,7938,7115,24/3/16
58995594,0,0,0,0,4,5,,13/2/16,575653.2,500500,22/4/16
58995052,0,0,0,0,2,10,,13/2/16,6006,6225,3/10/16
54991626,0,0,0,0,2,10,16500,4/2/16,14221.2,13114,5/4/16
54991497,0,0,0,0,1,5,,4/2/16,60000,50500,
58987276,0,0,0,0,1,10,,4/2/16,0,,
58995080,0,0,0,0,1,0,,4/2/16,33110.4,34990,
54991614,0,0,0,0,3,10,106700,2/2/16,26734.8,22779,4/12/16
54986508,0,0,0,0,1,10,55000,2/2/16,1824,,
58992868,0,0,0,0,1,9,,2/2/16,68930.4,200500,
59003954,0,0,0,0,3,10,,30/1/16,8470.8,4328,16/4/16
58987886,1,0,0,1,3,10,178200,29/1/16,3492,7530,14/3/16
54986288,0,0,0,0,1,10,55000,29/1/16,16602,45855,
58995436,0,0,0,0,4,10,44000,27/1/16,47858.4,43505,15/5/16
58994429,0,0,0,0,1,13,,27/1/16,102921.6,85500,
58987276,0,0,0,0,3,1,,27/1/16,381831.6,328500,25/3/16
54991585,0,0,0,0,3,10,,27/1/16,0,,
59005683,0,0,0,0,5,10,69300,26/1/16,32684.4,42326,22/5/16
54990680,0,0,0,0,1,10,44000,26/1/16,44622,38856,
59003950,0,0,0,0,3,6,,26/1/16,27000,30500,23/3/16
58993220,0,0,0,0,1,10,,26/1/16,11346,9955,
59001751,0,0,0,0,1,13,,26/1/16,58057.2,51500,
59004688,0,0,0,0,4,10,,25/1/16,0,7216,13/5/16
54990331,0,0,0,0,2,10,194700,24/1/16,-25.2,8228,27/2/16
58994284,0,0,0,0,3,6,,24/1/16,21000,25500,20/3/16
54987316,0,0,0,0,1,6,,24/1/16,23998.8,22722,
58986996,0,0,0,0,2,6,,24/1/16,11400,19500,18/2/16
59003717,0,0,0,0,1,10,,24/1/16,-1.2,,19/2/16
58991638,0,0,0,0,2,10,61600,23/1/16,26078.4,49221,21/2/16
54987199,0,0,0,0,1,10,55000,23/1/16,57937.2,49528,15/2/16
58995950,0,0,0,0,4,10,,23/1/16,136658.4,120357,15/5/16
59003249,0,0,0,0,3,6,,23/1/16,8160,9000,
59003249,0,0,0,0,3,6,,23/1/16,39840,42000,20/3/16
58986716,0,0,0,0,1,6,,23/1/16,51516,48200,
58996773,0,0,0,0,3,10,,21/1/16,6540,7672,4/10/16
58987097,0,0,0,0,2,10,103400,20/1/16,12856.8,28555,18/3/16
59002145,0,0,0,0,1,10,23100,20/1/16,3266.4,3222,
54984235,0,0,0,0,1,5,,20/1/16,120000,100500,
58997157,0,0,0,0,4,10,55000,19/1/16,14720.4,40919,25/4/16
58993064,0,0,0,0,2,10,,19/1/16,0,1400,31/1/16
58993422,0,0,0,0,1,10,,19/1/16,2350.8,11720,
59001676,0,0,0,0,2,10,,19/1/16,10774.8,,3/7/16
58994057,0,0,0,0,2,5,,19/1/16,583700.4,500500,26/3/16
54988422,0,0,0,0,4,1,,18/1/16,625466.4,550500,
59001171,0,0,0,0,1,6,,18/1/16,34650,32000,
59002226,0,0,0,0,1,13,,18/1/16,57916.8,38500,
54988411,0,0,0,0,4,10,,18/1/16,15644.4,30579,5/4/16
54991441,0,0,0,0,2,10,24200,17/1/16,6372,5810,16/3/16
54991742,0,0,0,0,2,5,,17/1/16,88305.6,77500,19/3/16
58986587,0,0,0,0,1,5,,17/1/16,105600,88500,
58994781,0,0,0,0,3,10,63800,16/1/16,-3667.2,7579,29/3/16
58994057,0,0,0,0,1,2,,16/1/16,3042966,2500500,
54987336,0,0,0,0,1,5,,16/1/16,294043.2,250500,26/2/16
54989325,0,0,0,0,1,5,,16/1/16,578613.6,482500,
54984241,0,0,0,0,3,13,,16/1/16,68474.4,59500,21/2/16
54990315,0,0,0,0,1,6,,16/1/16,30600,26000,
59003268,0,0,0,0,3,10,64900,15/1/16,32218.8,59369,4/1/16
54991626,0,0,0,0,5,6,,15/1/16,12000,20500,19/4/16
58992419,0,0,0,0,2,6,,15/1/16,36480,38500,
58991580,0,0,0,0,1,6,,14/1/16,56160,52500,
58994856,0,0,0,0,4,10,,14/1/16,13414.8,63091,19/3/16
59005708,0,0,0,0,5,6,,13/1/16,15876,22550,19/4/16
58999186,0,0,0,0,1,10,,13/1/16,0,,
59005275,0,0,0,0,5,5,,13/1/16,81583.2,100500,5/2/16
58995436,0,0,0,0,1,6,,13/1/16,67500,63000,
54984634,0,0,0,0,1,5,,13/1/16,0,150500,20/3/16
59004621,0,0,0,0,2,10,132000,4/1/16,3708,3590,
54988329,0,0,0,0,2,10,88000,4/1/16,35060.4,29717,30/4/16
59006139,0,0,0,0,3,10,59400,4/1/16,9432,18532,27/5/16
59005880,0,0,0,0,4,10,193600,3/1/16,69610.8,62929,25/5/16
58993948,0,0,0,0,2,10,117700,3/1/16,15718.8,13598,28/3/16
59002841,0,0,0,0,1,10,100100,3/1/16,8298,7415,
58995813,0,0,0,0,2,6,,3/1/16,14299.2,13500,
58993847,0,0,0,0,1,10,,3/1/16,1678.8,1899,
58995813,0,0,0,0,3,6,,3/1/16,6957.6,12100,22/4/16
54987040,0,0,0,0,1,10,,3/1/16,600,1000,
58995813,0,0,0,0,3,6,,3/1/16,7200,12500,22/4/16
58986298,0,0,0,0,1,5,,2/1/16,193200,161500,
54987871,0,0,0,0,4,6,,2/1/16,6237.6,10900,22/4/16
59006139,0,0,0,0,4,0,,2/1/16,12684,15600,22/4/16
58996773,0,0,0,0,4,10,,2/1/16,0,6091,16/5/16
58996882,0,0,0,0,4,0,,2/1/16,15120,25700,22/4/16
58994986,0,0,0,0,2,5,,2/1/16,118150.8,100500,21/2/16
54986575,0,0,0,0,1,6,,2/1/16,11760,15200,
58993173,0,0,0,0,3,10,88000,1/1/16,64660.8,81133,14/3/16
54986974,0,0,0,0,3,10,55000,1/1/16,3652.8,16071,3/12/16
59004857,0,0,0,0,5,10,22000,1/1/16,9480,17204,13/5/16
59003249,0,0,0,0,4,6,,1/1/16,69998.4,75500,20/3/16
58991228,0,0,0,0,1,6,,31/12/15,10396.8,13500,
58991228,0,0,0,0,1,6,,31/12/15,10396.8,13500,
59003229,0,0,0,0,3,10,,30/12/15,-1.2,2281,27/2/16
58991324,0,0,0,0,2,6,,30/12/15,20580,25000,
58990519,0,0,0,0,1,10,,30/12/15,83034,69695,
58996172,0,0,0,0,5,10,,29/12/15,83014.8,73079,5/7/16
59001138,0,0,0,0,2,13,,29/12/15,44919.6,37200,
58986183,0,0,0,0,2,10,,29/12/15,46671.6,39393,
59000497,0,0,0,0,2,10,69300,28/12/15,3676.8,4045,29/1/16
54988697,0,0,0,0,4,10,,28/12/15,2127.6,6824,22/4/16
58988287,0,0,0,0,5,2,,28/12/15,1785898.8,1500500,24/4/16
58986298,0,0,0,0,2,10,44000,27/12/15,0,,
58986727,0,0,0,0,2,10,,27/12/15,2024.4,2586,21/1/16
54987381,0,0,0,0,3,10,,27/12/15,33838.8,28699,3/7/16
58996294,0,0,0,0,2,1,,27/12/15,653330.4,470500,23/2/16
58996294,0,0,0,0,1,1,,27/12/15,692930.4,470500,
58988212,0,0,0,0,4,10,,27/12/15,307.2,47941,4/11/16
59001676,0,0,0,0,3,10,110000,26/12/15,18681.6,16067,18/2/16
59004946,0,0,0,0,5,10,77000,26/12/15,51295.2,69058,5/8/16
54988630,0,0,0,0,6,6,,26/12/15,17400,29500,20/5/16
58992002,0,0,0,0,2,6,,26/12/15,54000,50500,18/1/16
54984830,0,0,0,0,4,10,88000,25/12/15,0,,
59002949,0,0,0,0,3,10,22000,25/12/15,33.6,13334,17/2/16
58986218,0,0,0,0,2,10,,25/12/15,1292.4,2033,22/1/16
59000077,0,0,0,0,2,10,105600,23/12/15,4492.8,4243,1/11/16
58999712,0,0,0,0,1,6,,23/12/15,17596.8,22500,
54988011,0,0,0,0,4,1,,23/12/15,414792,360500,4/2/16
58993621,0,0,0,0,2,10,,22/12/15,-13485.6,28393,22/1/16
58988250,0,0,0,0,4,6,,21/12/15,45196.8,57000,23/3/16
59002933,0,0,0,0,3,10,,21/12/15,35286,35270,26/2/16
58996247,0,0,0,0,6,10,215600,20/12/15,49579.2,55658,21/5/16
54991896,0,0,0,0,5,10,143000,20/12/15,117872.4,98727,5/5/16
59002226,0,0,0,0,2,10,,20/12/15,15758.4,5521,2/6/16
58987512,0,0,0,0,3,10,,20/12/15,37802.4,32002,20/2/16
58996619,0,0,0,0,5,10,,20/12/15,5006.4,60809,22/4/16
59003155,0,0,0,0,3,10,46200,19/12/15,18438,15865,22/2/16
58996494,0,0,0,0,4,10,22000,18/12/15,6144,6712,28/3/16
58987926,0,0,0,0,2,0,,18/12/15,34528.8,90500,
58986950,0,0,0,0,4,10,,17/12/15,53320.8,48929,2/12/16
54986826,0,0,0,0,2,0,,17/12/15,49800,525500,18/1/16
58992482,0,0,0,0,1,5,,17/12/15,300000,250500,
58987931,0,0,0,0,5,10,,17/12/15,-206.4,,5/3/16
58992344,0,0,0,0,2,6,,17/12/15,10692,15775,18/1/16
58996882,0,0,0,0,5,10,,17/12/15,722.4,46042,18/4/16
54986288,0,0,0,0,2,6,,17/12/15,22371.6,26601,21/1/16
59005490,0,0,0,0,4,6,,17/12/15,5085.6,6852,18/5/16
58988250,0,0,0,0,5,24,,17/12/15,901284,820500,19/4/16
58992482,0,0,0,0,2,6,,17/12/15,19762.8,18799,21/1/16
58986339,0,0,0,0,2,10,,17/12/15,29794.8,25329,27/1/16
59004779,0,0,0,0,5,6,,17/12/15,5596.8,14500,19/4/16
58992482,0,0,0,0,2,6,,17/12/15,34560,32500,21/1/16
58990611,0,0,0,0,2,10,172700,16/12/15,13507.2,37412,22/1/16
58994773,0,0,0,0,4,10,111100,16/12/15,103656,86880,27/3/16
59001607,0,0,0,0,3,10,105600,16/12/15,122484,102569,13/2/16
54991321,0,0,0,0,3,10,72600,16/12/15,85938,72114,27/1/16
54989180,0,0,0,0,1,10,42900,16/12/15,30067.2,25555,
54991896,0,0,0,0,5,2,,16/12/15,32493420,35661277,28/3/16
54992408,0,0,0,0,2,7,,16/12/15,120000,100500,19/3/16
54989207,0,0,0,0,2,5,,16/12/15,240379.2,200500,19/12/15
